Position,StateName,Name_x,Name_y,Handle,Affiliation,Body,Score,RankY,RankX,ndups
WA07,Washington,Pramila Jayapal,Pramila Jayapal,@RepJayapal,D,House of Representatives,100,0,0,0
SC03,Florida,Jeff Duncan,Neal Dunn,@RepJeffDuncan,R,House of Representatives,60,1,0,0
NY08,New York,Hakeem Jeffries,Hakeem Jeffries,@RepJeffries,D,House of Representatives,100,0,0,0
NY10,New York,Jerrold Nadler,Jerry Nadler,@RepJerryNadler,D,House of Representatives,85,0,0,0
IN04,Oklahoma,James Baird,James Lankford,@RepJimBaird,R,Senate,72,0,0,0
IN03,Indiana,Jim Banks,Jim Banks,@RepJimBanks,R,House of Representatives,100,0,0,0
CA34,California,Jimmy Gomez,Jimmy Gomez,@RepJimmyGomez,D,House of Representatives,100,0,0,0
CT02,Texas,Joe Courtney,John Cornyn,@RepJoeCourtney,R,Senate,70,0,0,0
MA04,Massachusetts,Joseph Kennedy,Joe Kennedy III,@RepJoeKennedy,D,House of Representatives,76,0,0,0
NY25,New York,Joseph Morelle,Joseph Morelle,@RepJoeMorelle,D,House of Representatives,100,0,0,0
CO02,Colorado,Joe Neguse,Joe Neguse,@RepJoeNeguse,D,House of Representatives,100,0,0,0
SC02,Florida,Joe Wilson,Frederica Wilson,@RepJoeWilson,D,House of Representatives,62,1,0,0
UT03,Georgia,John Curtis,John Lewis,@RepJohnCurtis,D,House of Representatives,67,2,0,0
PA13,North Dakota,John Joyce,John Hoeven,@RepJohnJoyce,R,Senate,67,1,0,0
NY24,New York,John Katko,John Katko,@RepJohnKatko,R,House of Representatives,100,0,0,0
CT01,Connecticut,John Larson,John B. Larson,@RepJohnLarson,D,House of Representatives,88,0,0,0
TN06,North Dakota,John Rose,John Hoeven,@RepJohnRose,R,Senate,70,0,0,0
KY03,Kentucky,John Yarmuth,John Yarmuth,@RepJohnYarmuth,D,House of Representatives,100,0,0,0
NY15,New York,JosÃ© Serrano,José E. Serrano,@RepJoseSerrano,D,House of Representatives,79,0,0,0
NJ05,New Jersey,Josh Gottheimer,Josh Gottheimer,@RepJoshG,D,House of Representatives,100,0,0,0
CA51,California,Juan Vargas,Juan Vargas,@RepJuanVargas,D,House of Representatives,100,0,0,0
MA05,Massachusetts,Katherine Clark,Katherine Clark,@RepKClark,D,House of Representatives,100,0,0,0
CA37,California,Karen Bass,Karen Bass,@RepKarenBass,D,House of Representatives,100,0,0,0
